	Time and date	Thing	Category	Estimate	Console	Region	Runner
	1-8-2014 8:45:00	Magical Quest 2: The great circus mystery	Any% Co-op (Normal)	0:30:00	SFC	NTSC	Grukk & Edenal
	1-8-2014 9:15:00	Phantasy Star Online: Episode 1	Any% Glitched (Offline%)	1:20:00			LeFrozer
	1-8-2014 10:35:00	Rayman Legends	Any%	1:45:00	PC		EnsgMaster
	1-8-2014 12:20:00	3D Dot Game Heroes	Any% NG+	3:00:00	PS4		Arzga
	1-8-2014 15:20:00	FEZ	Any% Clockless	0:40:00	Any% Clockless		Gyoo
	1-8-2014 16:00:00	Bastion	NG+ Any% Race	0:25:00	PC		Cereth & Incalex
	1-8-2014 16:25:00	Setup 		0:30:00			
	1-8-2014 16:55:00	Being an Indie Developer - Talk with Indie Devs	Talk	2:00:00	-		ShaunJS & ?
	1-8-2014 18:55:00	Recap #5	Talk	1:00:00	-		People
	1-8-2014 19:55:00	GTA: Vice City	Any%	1:45:00	PC		Eidgod
	1-8-2014 21:40:00	Doom	Ultra-Violence Episodes 1-3	0:30:00	PC		wakecold
	1-8-2014 22:10:00	Quake	Any% (Easy)	0:25:00	PC		coolkid
	1-8-2014 22:35:00	Star Wars: Dark Forces	Any% (Easy)	0:30:00	PC / DOS		ontwoplanks
Saturday	1-8-2014 23:05:00	William Shatner's TekWar	Any%	0:25:00	PC		oasiz
	1-8-2014 23:30:00	inMomentum	Spherehunt/Gamer	0:30:00	PC		The Paprika Killer
	2-8-2014 0:00:00	Dark Souls 2	Any%	1:20:00	PC/PS3		Noobest
	2-8-2014 1:20:00	Titan Quest	Any% Co-op	2:00:00	PC		Kotti & Ariwa
	2-8-2014 3:20:00	Island Peril	Any%	1:10:00			icedpingu
	2-8-2014 4:30:00	Open Casual Block	-	1:00:00	-		Whoever
	2-8-2014 5:30:00	Open Casual Block	-	1:00:00	-		Whoever
	2-8-2014 6:30:00	Setup 		0:30:00			
	2-8-2014 7:00:00	ILs/Arcade/Casual/Multiplayer	-	2:00:00			People
	2-8-2014 9:00:00	Mario Kart 64	Skips	0:50:00	N64		flippy_O
	2-8-2014 9:50:00	Melee/Project M Tournament	Top 42069	1:00:00			People who forgot how to speedrun
	2-8-2014 10:50:00	Setup 		0:30:00			
	2-8-2014 11:20:00	The Theory of Sonic Stuff	Talk	1:00:00			
	2-8-2014 12:20:00	Sonic the Hedgehog	Any%	0:30:00	Wii		Timpz
	2-8-2014 12:50:00	Sonic the Hedgehog 2	Any%	0:30:00	Wii		Timpz
	2-8-2014 13:20:00	Final Fantasy VII	Glitch% (YuffieWarp)	2:50:00	PC		Kynos
	2-8-2014 16:10:00	Recap #6	Talk	1:00:00	-		People
	2-8-2014 17:10:00	END					
		TOTAL TIME		125:10:00			
