	Date	Game	Category	Estimate	Console	Region	Runner	
	30-7-2014 7:55:00	Parasol Stars: The Story of Bubble Bobble 3	Co-op	1:10:00	Amiga		RoboSparkle & TheGons	
	30-7-2014 9:05:00	Nazo no Murasame Jou	Any%	0:15:00			Chauzu	
	30-7-2014 9:20:00	Pang	Co-op	0:25:00	Amiga		RoboSparkle	
	30-7-2014 9:45:00	Ittle Dew	100%	0:55:00	PC		eTholon	
	30-7-2014 10:40:00	Mystical Ninja 2 Starring Goemon	Any%	2:00:00	N64		Trineas	
	30-7-2014 12:40:00	Whiplash	All Keycards%	1:40:00	Xbox		Rueake	
	30-7-2014 14:20:00	Jak & Daxter: The Precursor Legacy	100%	2:20:00	PS2	PAL	Rozer	
	30-7-2014 16:40:00	Mega Man 8	Any% Cutscenes	1:15:00	SNES		Joka	
	30-7-2014 17:55:00	Mega Man 5	Any%	0:50:00	NES		Primal	
	30-7-2014 18:45:00	Mega Man 2	Any% (Normal/Difficult)	0:40:00	NES		Nudua	
	30-7-2014 19:25:00	Mega Man	Any% Foursome Race	0:30:00	NES		Coolkid vs. Primal (maybe)	
	30-7-2014 19:55:00	Setup 		0:30:00				
	30-7-2014 20:25:00	Donkey Kong Country 2	Any%	0:50:00	SNES-J	NTSC	Klosty	
	30-7-2014 21:15:00	Donkey Kong Country Returns	Any%	1:50:00	Wii		Partystar	
	30-7-2014 23:05:00	Diddy Kong Racing	Any%	1:10:00	N64		MrsGizamaluke	
	31-7-2014 0:15:00	Timesplitters: Future Perfect	Any% Hard	1:45:00	GCN	PAL	JangBang	
Thursday	31-7-2014 2:00:00	Grand Theft Auto: Vice City	Bingo	2:30:00			GTA-junkies	
	31-7-2014 4:30:00	E.Y.E. Divine Cybermancy	Any% NG+	0:40:00	PC		Ariwa	
	31-7-2014 5:10:00	Q.U.B.E.	Any%	0:40:00	PC		eTholon	
	31-7-2014 5:50:00	Antichamber	120 Signs	0:20:00	PC		WydD	
	31-7-2014 6:10:00	Setup 		0:30:00				
	31-7-2014 6:40:00	Shinobi	Any%	1:05:00	3DS	PAL	GreenaLink	
	31-7-2014 7:45:00	40 Winks	Any%	0:40:00	PS1	NTSC	Bangerra	
	31-7-2014 8:25:00	Little Samson      	Any% (Normal)      	0:30:00	NES        	NTSC	Primal	
	31-7-2014 8:55:00	Spider-Man 2	Any%	1:40:00	GC		CriminallyVulgar	
	31-7-2014 10:35:00	Tetrisphere	Puzzle Mode Any% (Blindfolded)	0:35:00			Meridianprime	
	31-7-2014 11:10:00	Bionic Commando Rearmed	100% (Normal)	1:20:00	X360		KennyMan666	
	31-7-2014 12:30:00	Mega Man X3	Low%	1:00:00	SFC		IrregularJinny	
	31-7-2014 13:30:00	Mega Man Network Transmission	Any%	1:25:00	GC		Crippe	
	31-7-2014 14:55:00	Final Fantasy IV	DieHard% 64 Floor Glitch	2:30:00	SNES		xemorej	
	31-7-2014 17:25:00	Disney Extreme Skate Adventure	Any%	0:20:00	PS2		Chrno	
	31-7-2014 17:45:00	Tony Hawk's Pro Skater 1	100%	0:15:00	N64		Coombs68	
	31-7-2014 18:00:00	Tony Hawk's Underground 2	Any% (Normal)	0:20:00	PC		Domakr,Chrno	
	31-7-2014 18:20:00	Setup 		0:30:00				
	31-7-2014 18:50:00	Mario Kart: Double Dash!!	All Cups Tour 150cc	0:40:00	GC	NTSC	Bogjavel & Druvan	
	31-7-2014 19:30:00	Super Mario Sunshine	Any% Race	1:40:00	GCN		ParadoxKarl, Chrism, stelzig	
